model,phase,actual,predicted,count
Random Forest,sigmoid,sad,calm,8
Random Forest,sigmoid,sad,disgust,0
Random Forest,sigmoid,sad,fearful,9
Random Forest,sigmoid,sad,happy,2
Random Forest,sigmoid,sad,neutral,0
Random Forest,sigmoid,sad,sad,12
Random Forest,sigmoid,sad,surprised,1
Random Forest,sigmoid,surprised,angry,1
Random Forest,sigmoid,surprised,calm,2
Random Forest,sigmoid,surprised,disgust,4
Random Forest,sigmoid,surprised,fearful,10
Random Forest,sigmoid,surprised,happy,2
Random Forest,sigmoid,surprised,neutral,0
Random Forest,sigmoid,surprised,sad,5
Random Forest,sigmoid,surprised,surprised,8
Random Forest,isotonic,angry,angry,15
Random Forest,isotonic,angry,calm,1
Random Forest,isotonic,angry,disgust,3
Random Forest,isotonic,angry,fearful,6
Random Forest,isotonic,angry,happy,1
Random Forest,isotonic,angry,neutral,0
Random Forest,isotonic,angry,sad,1
Random Forest,isotonic,angry,surprised,5
Random Forest,isotonic,calm,angry,0
Random Forest,isotonic,calm,calm,17
Random Forest,isotonic,calm,disgust,0
Random Forest,isotonic,calm,fearful,1
Random Forest,isotonic,calm,happy,0
Random Forest,isotonic,calm,neutral,0
Random Forest,isotonic,calm,sad,13
Random Forest,isotonic,calm,surprised,1
Random Forest,isotonic,disgust,angry,4
Random Forest,isotonic,disgust,calm,3
Random Forest,isotonic,disgust,disgust,12
Random Forest,isotonic,disgust,fearful,3
Random Forest,isotonic,disgust,happy,2
Random Forest,isotonic,disgust,neutral,0
Random Forest,isotonic,disgust,sad,2
Random Forest,isotonic,disgust,surprised,6
Random Forest,isotonic,fearful,angry,2
Random Forest,isotonic,fearful,calm,4
Random Forest,isotonic,fearful,disgust,0
Random Forest,isotonic,fearful,fearful,20
Random Forest,isotonic,fearful,happy,3
Random Forest,isotonic,fearful,neutral,0
Random Forest,isotonic,fearful,sad,3
Random Forest,isotonic,fearful,surprised,0
Random Forest,isotonic,happy,angry,0
Random Forest,isotonic,happy,calm,0
Random Forest,isotonic,happy,disgust,3
Random Forest,isotonic,happy,fearful,16
Random Forest,isotonic,happy,happy,7
Random Forest,isotonic,happy,neutral,0
Random Forest,isotonic,happy,sad,4
Random Forest,isotonic,happy,surprised,2
Random Forest,isotonic,neutral,angry,0
Random Forest,isotonic,neutral,calm,6
Random Forest,isotonic,neutral,disgust,0
Random Forest,isotonic,neutral,fearful,0
Random Forest,isotonic,neutral,happy,0
Random Forest,isotonic,neutral,neutral,0
Random Forest,isotonic,neutral,sad,10
Random Forest,isotonic,neutral,surprised,0
Random Forest,isotonic,sad,angry,0
Random Forest,isotonic,sad,calm,5
Random Forest,isotonic,sad,disgust,2
Random Forest,isotonic,sad,fearful,9
Random Forest,isotonic,sad,happy,2
Random Forest,isotonic,sad,neutral,0
Random Forest,isotonic,sad,sad,13
Random Forest,isotonic,sad,surprised,1
Random Forest,isotonic,surprised,angry,1
Random Forest,isotonic,surprised,calm,5
Random Forest,isotonic,surprised,disgust,4
Random Forest,isotonic,surprised,fearful,9
Random Forest,isotonic,surprised,happy,2
Random Forest,isotonic,surprised,neutral,0
Random Forest,isotonic,surprised,sad,2
Random Forest,isotonic,surprised,surprised,9
Random Forest,temperature,angry,angry,19
Random Forest,temperature,angry,calm,1
Random Forest,temperature,angry,disgust,1
Random Forest,temperature,angry,fearful,3
Random Forest,temperature,angry,happy,1
Random Forest,temperature,angry,neutral,0
Random Forest,temperature,angry,sad,1
Random Forest,temperature,angry,surprised,6
Random Forest,temperature,calm,angry,0
Random Forest,temperature,calm,calm,23
Random Forest,temperature,calm,disgust,0
Random Forest,temperature,calm,fearful,1
Random Forest,temperature,calm,happy,0
Random Forest,temperature,calm,neutral,0
Random Forest,temperature,calm,sad,7
Random Forest,temperature,calm,surprised,1
Random Forest,temperature,disgust,angry,7
Random Forest,temperature,disgust,calm,2
Random Forest,temperature,disgust,disgust,12
Random Forest,temperature,disgust,fearful,1
Random Forest,temperature,disgust,happy,0
Random Forest,temperature,disgust,neutral,0
Random Forest,temperature,disgust,sad,2
Random Forest,temperature,disgust,surprised,8
Random Forest,temperature,fearful,angry,2
Random Forest,temperature,fearful,calm,2
Random Forest,temperature,fearful,disgust,1
Random Forest,temperature,fearful,fearful,17
Random Forest,temperature,fearful,happy,6
Random Forest,temperature,fearful,neutral,0
Random Forest,temperature,fearful,sad,4
Random Forest,temperature,fearful,surprised,0
Random Forest,temperature,happy,angry,0
Random Forest,temperature,happy,calm,0
Random Forest,temperature,happy,disgust,3
Random Forest,temperature,happy,fearful,13
Random Forest,temperature,happy,happy,9
Random Forest,temperature,happy,neutral,0
Random Forest,temperature,happy,sad,5
Random Forest,temperature,happy,surprised,2
Random Forest,temperature,neutral,angry,0
Random Forest,temperature,neutral,calm,3
Random Forest,temperature,neutral,disgust,0
Random Forest,temperature,neutral,fearful,0
Random Forest,temperature,neutral,happy,0
Random Forest,temperature,neutral,neutral,1
Random Forest,temperature,neutral,sad,12
Random Forest,temperature,neutral,surprised,0
Random Forest,temperature,sad,angry,1
Random Forest,temperature,sad,calm,7
Random Forest,temperature,sad,disgust,3
Random Forest,temperature,sad,fearful,6
Random Forest,temperature,sad,happy,2
Random Forest,temperature,sad,neutral,0
Random Forest,temperature,sad,sad,12
Random Forest,temperature,sad,surprised,1
Random Forest,temperature,surprised,angry,2
Random Forest,temperature,surprised,calm,2
Random Forest,temperature,surprised,disgust,5
Random Forest,temperature,surprised,fearful,9
Random Forest,temperature,surprised,happy,2
Random Forest,temperature,surprised,neutral,0
Random Forest,temperature,surprised,sad,3
Random Forest,temperature,surprised,surprised,9
Gaussian Naive Bayes,none,angry,angry,17
Gaussian Naive Bayes,none,angry,calm,2
Gaussian Naive Bayes,none,angry,disgust,4
Gaussian Naive Bayes,none,angry,fearful,4
Gaussian Naive Bayes,none,angry,happy,2
Gaussian Naive Bayes,none,angry,neutral,0
Gaussian Naive Bayes,none,angry,sad,1
Gaussian Naive Bayes,none,angry,surprised,2
Gaussian Naive Bayes,none,calm,angry,0
Gaussian Naive Bayes,none,calm,calm,30
Gaussian Naive Bayes,none,calm,disgust,0
Gaussian Naive Bayes,none,calm,fearful,0
Gaussian Naive Bayes,none,calm,happy,0
Gaussian Naive Bayes,none,calm,neutral,0
Gaussian Naive Bayes,none,calm,sad,2
Gaussian Naive Bayes,none,calm,surprised,0
Gaussian Naive Bayes,none,disgust,angry,7
Gaussian Naive Bayes,none,disgust,calm,6
Gaussian Naive Bayes,none,disgust,disgust,16
Gaussian Naive Bayes,none,disgust,fearful,0
Gaussian Naive Bayes,none,disgust,happy,1
Gaussian Naive Bayes,none,disgust,neutral,0
Gaussian Naive Bayes,none,disgust,sad,2
Gaussian Naive Bayes,none,disgust,surprised,0
Gaussian Naive Bayes,none,fearful,angry,1
Gaussian Naive Bayes,none,fearful,calm,3
Gaussian Naive Bayes,none,fearful,disgust,2
Gaussian Naive Bayes,none,fearful,fearful,12
Gaussian Naive Bayes,none,fearful,happy,5
Gaussian Naive Bayes,none,fearful,neutral,2
Gaussian Naive Bayes,none,fearful,sad,6
Gaussian Naive Bayes,none,fearful,surprised,1
Gaussian Naive Bayes,none,happy,angry,1
Gaussian Naive Bayes,none,happy,calm,3
Gaussian Naive Bayes,none,happy,disgust,3
Gaussian Naive Bayes,none,happy,fearful,8
Gaussian Naive Bayes,none,happy,happy,4
Gaussian Naive Bayes,none,happy,neutral,2
Gaussian Naive Bayes,none,happy,sad,6
Gaussian Naive Bayes,none,happy,surprised,5
Gaussian Naive Bayes,none,neutral,angry,0
Gaussian Naive Bayes,none,neutral,calm,5
Gaussian Naive Bayes,none,neutral,disgust,0
Gaussian Naive Bayes,none,neutral,fearful,0
Gaussian Naive Bayes,none,neutral,happy,0
Gaussian Naive Bayes,none,neutral,neutral,5
Gaussian Naive Bayes,none,neutral,sad,6
Gaussian Naive Bayes,none,neutral,surprised,0
Gaussian Naive Bayes,none,sad,angry,0
Gaussian Naive Bayes,none,sad,calm,12
Gaussian Naive Bayes,none,sad,disgust,0
Gaussian Naive Bayes,none,sad,fearful,1
Gaussian Naive Bayes,none,sad,happy,6
Gaussian Naive Bayes,none,sad,neutral,0
Gaussian Naive Bayes,none,sad,sad,13
Gaussian Naive Bayes,none,sad,surprised,0
Gaussian Naive Bayes,none,surprised,angry,3
Gaussian Naive Bayes,none,surprised,calm,7
Gaussian Naive Bayes,none,surprised,disgust,4
Gaussian Naive Bayes,none,surprised,fearful,3
Gaussian Naive Bayes,none,surprised,happy,3
Gaussian Naive Bayes,none,surprised,neutral,4
Gaussian Naive Bayes,none,surprised,sad,1
Gaussian Naive Bayes,none,surprised,surprised,7
Gaussian Naive Bayes,sigmoid,angry,angry,17
Gaussian Naive Bayes,sigmoid,angry,calm,3
Gaussian Naive Bayes,sigmoid,angry,disgust,2
Gaussian Naive Bayes,sigmoid,angry,fearful,4
Gaussian Naive Bayes,sigmoid,angry,happy,2
Gaussian Naive Bayes,sigmoid,angry,neutral,0
Gaussian Naive Bayes,sigmoid,angry,sad,2
Gaussian Naive Bayes,sigmoid,angry,surprised,2
Gaussian Naive Bayes,sigmoid,calm,angry,0
Gaussian Naive Bayes,sigmoid,calm,calm,30
Gaussian Naive Bayes,sigmoid,calm,disgust,0
Gaussian Naive Bayes,sigmoid,calm,fearful,0
Gaussian Naive Bayes,sigmoid,calm,happy,0
Gaussian Naive Bayes,sigmoid,calm,neutral,0
Gaussian Naive Bayes,sigmoid,calm,sad,2
Gaussian Naive Bayes,sigmoid,calm,surprised,0
Gaussian Naive Bayes,sigmoid,disgust,angry,7
Gaussian Naive Bayes,sigmoid,disgust,calm,7
Gaussian Naive Bayes,sigmoid,disgust,disgust,16
